,order_number,product_name,quantity,price,payment_mode,store_name,city,country,year,order_date,month_name,day_name,revenue,unit_price
0,101071,Harley-Davidson Street 750,30,7000,NetBanking,RIDGES HARLEY-DAVIDSON,NYC,USA,2001,2001-02-24,February,Saturday,210000,233.33333333333334
1,101072,Harley-Davidson Street 750,34,7000,Cash,SEVEN ISLANDS HARLEY-DAVIDSON,Reims,France,2001,2001-05-07,May,Monday,238000,205.88235294117646
2,101073,Harley-Davidson Street 750,41,7000,Credit card,BANJARA HARLEY-DAVIDSON,Paris,France,2001,2001-07-01,July,Sunday,287000,170.73170731707316
3,101074,Harley-Davidson Street 750,45,7000,NetBanking,TUSKER HARLEY-DAVIDSON LAVELLE ROAD,Pasadena,USA,2001,2001-08-25,August,Saturday,315000,155.55555555555554
4,101075,Harley-Davidson Street 750,49,7000,NetBanking,CAPITAL HARLEY-DAVIDSON,San Francisco,USA,2001,2001-10-10,October,Wednesday,343000,142.85714285714286
5,101076,Harley-Davidson Street 750,36,7000,NetBanking,GRAND TRUNK HARLEY-DAVIDSON,Burlingame,USA,2001,2001-10-28,October,Sunday,252000,194.44444444444446
6,101077,Harley-Davidson Street 750,29,7000,NetBanking,BISON HARLEY-DAVIDSON KORAMANGLA,Lille,France,2001,2001-11-11,November,Sunday,203000,241.3793103448276
7,101078,Harley-Davidson Street 750,48,7000,NetBanking,MACH-1 HARLEY-DAVIDSON,Bergen,Norway,2001,2001-11-18,November,Sunday,336000,145.83333333333334
8,101079,Harley-Davidson Street 750,22,7000,Credit card,SPICE COAST HARLEY-DAVIDSON,San Francisco,USA,2001,2001-12-01,December,Saturday,154000,318.1818181818182
9,101080,Harley-Davidson Street 750,41,7000,Credit card,KONARK HARLEY-DAVIDSON,Paris,France,2001,2001-01-15,January,Monday,287000,170.73170731707316
10,101081,Harley-Davidson Street 750,37,7000,NetBanking,SUNRISE HARLEY-DAVIDSON,Melbourne,Australia,2001,2001-02-20,February,Tuesday,259000,189.1891891891892
11,101082,Harley-Davidson Street 750,23,7000,Cash,RED FORT HARLEY-DAVIDSON,NYC,USA,2001,2001-04-05,April,Thursday,161000,304.3478260869565
12,101083,Harley-Davidson Street 750,28,7000,NetBanking,BRAHMAPUTRA HARLEY-DAVIDSON,Newark,USA,2001,2001-05-18,May,Friday,196000,250.0
13,101084,Harley-Davidson Street 750,34,7000,NetBanking,GOA HARLEY-DAVIDSON,Bridgewater,USA,2001,2001-06-28,June,Thursday,238000,205.88235294117646
14,101085,Harley-Davidson Street 750,45,7000,Cash,DUNES HARLEY-DAVIDSON,Nantes,France,2001,2001-07-23,July,Monday,315000,155.55555555555554
15,101086,Harley-Davidson Street 750,36,7000,Cash,TWO RIVERS HARLEY-DAVIDSON,Cambridge,USA,2001,2001-08-27,August,Monday,252000,194.44444444444446
16,101087,Harley-Davidson Street 750,23,7000,Credit card,TIGER HARLEY-DAVIDSON,Helsinki,Finland,2001,2001-09-30,September,Sunday,161000,304.3478260869565
